title,vendor,inventory_policy,inventory_available,created_at,meta,objectID,curators_product,soldout,maxdeltime,mindeltime
Vintage Ceiling Lamp Murano Glass - 1980s Italy,Bottega Jacobs,deny,True,2024-10-02T13:55:16.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493541523721,False,False,2,1
Set of 6 Cutlery,Les Objoies,deny,True,2024-10-08T15:26:39.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48522048733449,False,False,2,1
Psychedelic Mirror Long,Caia Leifsdotter,deny,True,2024-09-23T11:32:26.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '2'}}",48447875186953,False,False,4,2
"""I saw you crying at the discoteque"" Plate",Musae Studio,continue,True,2023-11-03T17:14:05.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '1'}}",44711514800393,False,False,4,1
Set of 2 Candleholders – Postmodern 1980s,Bottega Jacobs,deny,True,2024-10-07T16:20:25.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48517383618825,False,False,2,1
Vintage metal Carafe - Rameria Lando Rinaldini 1950s,Bottega Jacobs,deny,True,2024-10-07T16:20:14.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48517383422217,False,False,2,1
Iron Candleholder 70s,Bottega Jacobs,deny,True,2024-10-07T16:19:58.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48517382996233,False,False,2,1
Vintage Bronze Sculpture of a Hand – Italy 1960s,Bottega Jacobs,deny,True,2024-10-02T13:58:08.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493554696457,False,False,2,1
5 Retro Murano Drinking Glasses,Bottega Jacobs,deny,True,2024-10-02T13:57:24.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493551452425,False,False,2,1
Vintage Ceiling Lamp - 1980s Murano Glass,Bottega Jacobs,deny,True,2024-10-02T13:57:01.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493549551881,False,False,2,1
Two Metal Candlesticks Memphis Style,Bottega Jacobs,deny,True,2024-10-02T13:56:54.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493549224201,False,False,2,1
Antique Fruit Bowl - Hand-Carved Copper,Bottega Jacobs,deny,True,2024-10-02T13:56:38.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493547585801,False,False,2,1
XXL Brutalist metal Candle Holder Italy 1960s,Bottega Jacobs,deny,True,2024-10-02T13:56:23.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493546832137,False,False,2,1
Agnes Hand Towel,Autumn Sonata,deny,True,2024-09-26T21:33:09.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48464991715593,False,False,2,1
Agnes Bath Towel,Autumn Sonata,deny,True,2024-09-26T21:33:09.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48464991682825,False,False,2,1
Alma Bath Mat,Autumn Sonata,deny,True,2024-09-26T21:32:55.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48464989618441,False,False,2,1
Forged Candleholder – Brutalist Design 1950s,Bottega Jacobs,deny,True,2024-10-02T13:57:53.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493553352969,False,False,2,1
Kaiser Leuchten Table Lamp By Klaus Hempel,Bottega Jacobs,deny,True,2024-10-02T13:57:21.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493551288585,False,False,2,1
Vintage Glass Vase for Riihimäen Lasi Oy,Bottega Jacobs,deny,True,2024-10-02T13:56:02.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493544931593,False,False,2,1
Karin Bath Towel,Autumn Sonata,deny,True,2024-09-26T21:33:01.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48464989815049,False,False,2,1
Italian Male in Plaster,Médecine,deny,True,2024-08-01T15:16:01.000Z,{'custom': {'soldout': False}},48229078499593,False,False,-1,-1
Mid-Century Metal and Wood Lamp,Spigel,deny,True,2024-09-03T10:36:52.000Z,{'custom': {'soldout': False}},48360588345609,False,False,-1,-1
Ester Bath Towel,Autumn Sonata,deny,True,2024-09-26T21:33:08.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48464991650057,False,False,2,1
Karin Bath Mat,Autumn Sonata,deny,True,2024-09-26T21:33:05.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48464991387913,False,False,2,1
Ester Bath Mat,Autumn Sonata,deny,True,2024-09-26T21:33:04.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48464991355145,False,False,2,1
Agnes Bath Mat,Autumn Sonata,deny,True,2024-09-26T21:33:04.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48464991322377,False,False,2,1
Artisan Ceramic Bowl,Flock Studio,deny,True,2024-10-08T13:26:35.000Z,{'custom': {'soldout': False}},48521565536521,False,False,-1,-1
Agnes Bath Sheet,Autumn Sonata,deny,True,2024-09-26T21:33:08.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48464991617289,False,False,2,1
Alma Bath Towel,Autumn Sonata,deny,True,2024-09-26T21:33:08.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48464991584521,False,False,2,1
Ester Hand Towel,Autumn Sonata,deny,True,2024-09-26T21:33:06.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48464991518985,False,False,2,1
Alma Core Set,Autumn Sonata,deny,True,2024-09-26T21:33:06.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48464991486217,False,False,2,1
Karin Bath Sheet,Autumn Sonata,deny,True,2024-09-26T21:33:05.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48464991420681,False,False,2,1
Alma Bath Sheet,Autumn Sonata,deny,True,2024-09-26T21:33:03.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48464989978889,False,False,2,1
Ester Core Set,Autumn Sonata,deny,True,2024-09-26T21:33:01.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48464989782281,False,False,2,1
Ester Bath Sheet,Autumn Sonata,deny,True,2024-09-26T21:33:00.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48464989749513,False,False,2,1
