title,vendor,inventory_policy,inventory_available,created_at,meta,objectID,curators_product,soldout,maxdeltime,mindeltime,itemsViewed,itemsPurchased,itemsAddedToCart,itemRevenue,ConversionRate
Roman Side Table,Meola Interiors,deny,True,2024-06-26T17:11:17.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '5'}, 'mindeliverytime': {'mindeltime': '2'}}",48061191323913,False,False,5,2,81,1,11,691.601085,0.012345679012345678
Gio Lighter Holder,FRY POWERS,deny,True,2024-07-08T10:44:44.000Z,{'custom': {'soldout': False}},48120273436937,False,False,-1,-1,839,0,24,0,0.0
Gio Lighter Holder,FRY POWERS,deny,True,2024-07-08T10:44:44.000Z,{'custom': {'soldout': False}},48120273404169,False,False,-1,-1,839,0,24,0,0.0
Gio Lighter Holder,FRY POWERS,deny,True,2024-07-08T10:44:44.000Z,{'custom': {'soldout': False}},48120273371401,False,False,-1,-1,839,0,24,0,0.0
Squiggle Tray,Sophie Lou Jacobsen,deny,True,2024-09-26T21:32:50.000Z,{'custom': {'soldout': False}},48464989290761,False,False,-1,-1,71,0,3,0,0.0
Solid Vintage Murero Glass Vase - 1970s Italy,Bottega Jacobs,deny,True,2024-10-02T13:55:55.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493544046857,False,False,2,1,48,0,4,0,0.0
"""Going Home"" Candleholder",Nowhere,continue,True,2024-03-22T16:53:02.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '3'}, 'mindeliverytime': {'mindeltime': '2'}}",45212306178313,False,False,3,2,29,2,17,437.4216,0.06896551724137931
Vintage Table Lamp 80s,Bottega Jacobs,deny,True,2024-10-07T16:21:01.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48517384372489,False,False,2,1,44,0,2,0,0.0
"""Aquarama"" Headboard in African Mahogany",Lemon,deny,False,2024-10-01T10:08:21.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '10'}, 'mindeliverytime': {'mindeltime': '8'}}",48485044093193,False,False,10,8,55,0,3,0,0.0
"""Aquarama"" Headboard in African Mahogany",Lemon,deny,False,2024-10-01T10:08:21.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '10'}, 'mindeliverytime': {'mindeltime': '8'}}",48485044060425,False,False,10,8,55,0,3,0,0.0
"""Aquarama"" Headboard in African Mahogany",Lemon,deny,False,2024-10-01T10:08:21.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '10'}, 'mindeliverytime': {'mindeltime': '8'}}",48485044027657,False,False,10,8,55,0,3,0,0.0
"""Aquarama"" Headboard in African Mahogany",Lemon,deny,False,2024-10-01T10:08:21.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '10'}, 'mindeliverytime': {'mindeltime': '8'}}",48485043994889,False,False,10,8,55,0,3,0,0.0
Vintage Murano Glass Lamp 80s Memphis Style,Bottega Jacobs,deny,True,2024-10-02T13:56:18.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493545980169,False,False,2,1,54,0,3,0,0.0
Vintage Glass Jar 1970s,Bottega Jacobs,deny,True,2024-10-07T16:20:05.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48517383160073,False,False,2,1,19,0,1,0,0.0
Memphis Style Vintage Murano Glass Table Lamp,Bottega Jacobs,deny,True,2024-10-02T13:57:57.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493553713417,False,False,2,1,100,0,2,0,0.0
"Original Drawing, Abstract Motif in Wooden Frame – Italy 1960s",Bottega Jacobs,deny,True,2024-10-02T13:57:32.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493552206089,False,False,2,1,103,0,2,0,0.0
Vintage Ceramic Wall Clock 1970s Italy,Bottega Jacobs,deny,True,2024-10-02T13:57:14.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493550567689,False,False,2,1,39,0,2,0,0.0
Vintage Ceramic Table Lamp with Silk Shade - Italy 70s,Bottega Jacobs,deny,True,2024-10-02T13:56:20.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493546078473,False,False,2,1,100,0,2,0,0.0
